field_id,subset,phenotype_description,type
23400,,Total Cholesterol,continuous
23401,,Total Cholesterol Minus HDL-C,continuous
23402,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",continuous
23403,,VLDL Cholesterol,continuous
23404,,Clinical LDL Cholesterol,continuous
23405,,LDL Cholesterol,continuous
23406,,HDL Cholesterol,continuous
23407,,Total Triglycerides,continuous
23408,,Triglycerides in VLDL,continuous
23409,,Triglycerides in LDL,continuous
23410,,Triglycerides in HDL,continuous
23411,,Total Phospholipids in Lipoprotein Particles,continuous
23412,,Phospholipids in VLDL,continuous
23413,,Phospholipids in LDL,continuous
23414,,Phospholipids in HDL,continuous
23415,,Total Esterified Cholesterol,continuous
23416,,Cholesteryl Esters in VLDL,continuous
23417,,Cholesteryl Esters in LDL,continuous
23418,,Cholesteryl Esters in HDL,continuous
23419,,Total Free Cholesterol,continuous
23420,,Free Cholesterol in VLDL,continuous
23421,,Free Cholesterol in LDL,continuous
23422,,Free Cholesterol in HDL,continuous
23423,,Total Lipids in Lipoprotein Particles,continuous
23424,,Total Lipids in VLDL,continuous
23425,,Total Lipids in LDL,continuous
23426,,Total Lipids in HDL,continuous
23427,,Total Concentration of Lipoprotein Particles,continuous
23428,,Concentration of VLDL Particles,continuous
23429,,Concentration of LDL Particles,continuous
23430,,Concentration of HDL Particles,continuous
23431,,Average Diameter for VLDL Particles,continuous
23432,,Average Diameter for LDL Particles,continuous
23433,,Average Diameter for HDL Particles,continuous
23434,,Phosphoglycerides,continuous
23436,,Total Cholines,continuous
23437,,Phosphatidylcholines,continuous
23438,,Sphingomyelins,continuous
23439,,Apolipoprotein B,continuous
23440,,Apolipoprotein A1,continuous
23442,,Total Fatty Acids,continuous
23443,,Degree of Unsaturation,continuous
23444,,Omega-3 Fatty Acids,continuous
23445,,Omega-6 Fatty Acids,continuous
23446,,Polyunsaturated Fatty Acids,continuous
23447,,Monounsaturated Fatty Acids,continuous
23448,,Saturated Fatty Acids,continuous
23449,,Linoleic Acid,continuous
23450,,Docosahexaenoic Acid,continuous
23460,,Alanine,continuous
23461,,Glutamine,continuous
23462,,Glycine,continuous
23463,,Histidine,continuous
23464,,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),continuous
23465,,Isoleucine,continuous
23466,,Leucine,continuous
23467,,Valine,continuous
23468,,Phenylalanine,continuous
23469,,Tyrosine,continuous
23470,,Glucose,continuous
23471,,Lactate,continuous
23472,,Pyruvate,continuous
23473,,Citrate,continuous
23474,,3-Hydroxybutyrate,continuous
23475,,Acetate,continuous
23476,,Acetoacetate,continuous
23477,,Acetone,continuous
23478,,Creatinine,continuous
23479,,Albumin,continuous
23480,,Glycoprotein Acetyls,continuous
23481,,Concentration of Chylomicrons and Extremely Large VLDL Particles,continuous
23482,,Total Lipids in Chylomicrons and Extremely Large VLDL,continuous
23483,,Phospholipids in Chylomicrons and Extremely Large VLDL,continuous
23484,,Cholesterol in Chylomicrons and Extremely Large VLDL,continuous
23485,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,continuous
23486,,Free Cholesterol in Chylomicrons and Extremely Large VLDL,continuous
23487,,Triglycerides in Chylomicrons and Extremely Large VLDL,continuous
23488,,Concentration of Very Large VLDL Particles,continuous
23489,,Total Lipids in Very Large VLDL,continuous
23490,,Phospholipids in Very Large VLDL,continuous
23491,,Cholesterol in Very Large VLDL,continuous
23492,,Cholesteryl Esters in Very Large VLDL,continuous
23493,,Free Cholesterol in Very Large VLDL,continuous
23494,,Triglycerides in Very Large VLDL,continuous
